Date,Close,High,Low,Open
2025/4/4,188.1333008,199.6182403,187.0946542,193.6360794
2025/4/7,181.2223663,193.8957347,174.3913124,176.9679355
2025/4/8,172.1941986,190.0907289,168.9884109,186.4554964
2025/4/9,198.5895844,200.3472739,171.6648855,171.7248045
2025/4/10,190.1706238,194.5249145,182.7603429,188.8224009
2025/4/11,197.8904877,199.2786667,185.8163249,185.8562811
2025/4/14,202.254776,212.6611277,200.8965565,211.1630922
2025/4/15,201.8752747,203.2434756,199.5383428,201.5956426
2025/4/16,194.0155792,200.4371509,192.1180584,198.1002191
2025/4/17,196.7220306,198.569614,194.1653857,196.9417437
2025/4/21,192.9070282,193.5461894,189.5614095,193.0168847
2025/4/22,199.4784241,201.3259922,195.713357,195.8631545
2025/4/23,204.3320618,207.727603,202.534416,205.7302222
2025/4/24,208.0971069,208.5565112,202.6742256,204.6216687
2025/4/25,209.0059204,209.4753061,205.9299522,206.0997278
2025/4/28,209.8647919,211.2230114,207.188309,209.7249758
2025/4/29,210.9333954,211.9620452,208.0971032,208.4166914
2025/4/30,212.2217102,213.3002977,206.3993433,209.025904
2025/5/1,213.0406342,214.2790004,208.6264094,208.8061816
2025/5/2,205.0810699,206.7189215,201.8952453,205.8200911
2025/5/5,198.6295319,203.8327155,197.9504297,202.8340251
2025/5/6,198.2500153,200.387212,196.7619764,197.9504203
2025/5/7,195.992981,199.1788056,192.9969099,198.9091549
2025/5/8,197.231369,199.788014,194.4250362,197.4610635
2025/5/9,198.2700043,200.2773665,197.2812953,198.73939
2025/5/12,210.7899933,211.2700043,206.75,210.9700012
2025/5/13,212.9299927,213.3999939,209.0,210.4299927
2025/5/14,212.3300018,213.9400024,210.5800018,212.4299927
2025/5/15,211.4499969,212.9600067,209.5399933,210.9499969
2025/5/16,211.2599945,212.5700073,209.7700043,212.3600006
2025/5/19,208.86,209.48,204.26,207.91
2025/5/20,206.86,208.47,205.03,207.67
2025/5/21,202.09,207.04,200.71,205.17
2025/5/22,201.36,202.75,199.7,200.71
2025/5/23,195.27,197.7,193.46,193.67
2025/5/27,200.21,200.74,197.43,198.3
2025/5/28,200.42,202.73,199.9,200.59
2025/5/29,199.95,203.81,198.51,203.58
2025/5/30,200.85,201.96,196.78,199.37
2025/6/2,201.7,202.13,200.12,200.28
